,year,LAD,comparative_adv,Topics
58,2015,Gwynedd,0.0,Video Games - AR/VR
60,2012,Pembrokeshire,0.0,Project Management
61,2013,Pembrokeshire,0.0,Project Management
62,2014,Pembrokeshire,0.0,Project Management
63,2015,Pembrokeshire,0.0,Project Management
65,2012,Blaenau Gwent,0.0,Project Management
66,2013,Blaenau Gwent,0.0,Project Management
67,2014,Blaenau Gwent,0.0,Project Management
68,2015,Blaenau Gwent,0.0,Project Management
70,2012,Carmarthenshire,0.0,Project Management
71,2013,Carmarthenshire,0.0,Project Management
72,2014,Carmarthenshire,0.0,Project Management
73,2015,Carmarthenshire,0.0,Project Management
75,2012,Cardiff,0.0,Project Management
76,2013,Cardiff,1.7797661107438956,Project Management
77,2014,Cardiff,1.1169422580290491,Project Management
78,2015,Cardiff,2.6217034004044804,Project Management
80,2012,Swansea,0.0,Project Management
81,2013,Swansea,0.0,Project Management
82,2014,Swansea,0.0,Project Management
83,2015,Swansea,0.0,Project Management
85,2012,Gwynedd,0.0,Project Management
86,2013,Gwynedd,0.0,Project Management
87,2014,Gwynedd,0.0,Project Management
88,2015,Gwynedd,0.0,Project Management
90,2012,Pembrokeshire,0.0,Data Science
91,2013,Pembrokeshire,0.0,Data Science
92,2014,Pembrokeshire,0.0,Data Science
93,2015,Pembrokeshire,0.0,Data Science
95,2012,Blaenau Gwent,0.0,Data Science
96,2013,Blaenau Gwent,0.0,Data Science
97,2014,Blaenau Gwent,0.0,Data Science
98,2015,Blaenau Gwent,0.0,Data Science
100,2012,Carmarthenshire,0.0,Data Science
101,2013,Carmarthenshire,0.0,Data Science
102,2014,Carmarthenshire,0.0,Data Science
103,2015,Carmarthenshire,0.0,Data Science
105,2012,Cardiff,0.0,Data Science
106,2013,Cardiff,1.528283752563684,Data Science
107,2014,Cardiff,1.055186603922578,Data Science
108,2015,Cardiff,1.9989017199798127,Data Science
110,2012,Swansea,0.0,Data Science
111,2013,Swansea,0.0,Data Science
112,2014,Swansea,0.3315003291041162,Data Science
113,2015,Swansea,0.05571228291839004,Data Science
115,2012,Gwynedd,0.0,Data Science
116,2013,Gwynedd,0.0,Data Science
117,2014,Gwynedd,0.0,Data Science
118,2015,Gwynedd,0.0,Data Science
120,2012,Pembrokeshire,0.0,Coding - Wearables - IoT - Hardware
121,2013,Pembrokeshire,0.0,Coding - Wearables - IoT - Hardware
122,2014,Pembrokeshire,0.0,Coding - Wearables - IoT - Hardware
123,2015,Pembrokeshire,0.0,Coding - Wearables - IoT - Hardware
125,2012,Blaenau Gwent,0.0,Coding - Wearables - IoT - Hardware
126,2013,Blaenau Gwent,0.0,Coding - Wearables - IoT - Hardware
127,2014,Blaenau Gwent,0.0,Coding - Wearables - IoT - Hardware
128,2015,Blaenau Gwent,0.0,Coding - Wearables - IoT - Hardware
130,2012,Carmarthenshire,0.0,Coding - Wearables - IoT - Hardware
131,2013,Carmarthenshire,0.0,Coding - Wearables - IoT - Hardware
132,2014,Carmarthenshire,0.0,Coding - Wearables - IoT - Hardware
133,2015,Carmarthenshire,0.2040311479734844,Coding - Wearables - IoT - Hardware
135,2012,Cardiff,0.0,Coding - Wearables - IoT - Hardware
136,2013,Cardiff,0.10440379083158137,Coding - Wearables - IoT - Hardware
137,2014,Cardiff,0.16499023785390785,Coding - Wearables - IoT - Hardware
138,2015,Cardiff,0.1242411705289793,Coding - Wearables - IoT - Hardware
140,2012,Swansea,0.0,Coding - Wearables - IoT - Hardware
141,2013,Swansea,0.0,Coding - Wearables - IoT - Hardware
