organisation_x,organisation_y,collab_n,similarity_color_rgba
Sony United Kingdom Ltd,Swansea University,1,"(1, 0, 0, 0.9)"
Iqe (Europe) Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
HAEMAIR LTD,Swansea University,1,"(1, 0, 0, 0.9)"
Cardiff Council,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
SPTS Technologies,Swansea University,1,"(1, 0, 0, 0.9)"
Science Made Simple,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Haemometrics Ltd,Swansea University,1,"(1, 0, 0, 0.9)"
Tidal Energy Limited,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Fusion,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Neath Port Talbot County,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Abertawe Bro Morgannwg NHS Trust,Swansea University,1,"(1, 0, 0, 0.9)"
Boots Centre for Innovation BCI,Swansea University,1,"(1, 0, 0, 0.9)"
Mabey Bridge Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Bangor University,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Power Units M & E Engineering Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
IQE Silicon Compounds Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
International Rectifier,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Dow Corning Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Wiltan Limited,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
INEXUS,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Aberystwyth University,Swansea University,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
