organisation_x,organisation_y,collab_n,similarity_color_rgba
Eurostep Limited,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Sandvik Materials Technology,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Plasma & Thermal Coatings Ltd,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Glyndwr University,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Welsh Centre for Printing and Coating,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Yuasa Battery UK Ltd,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Office for National Statistics,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morganite Electrical Carbon Ltd.,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Pilkington Special Glass,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
MTG Research Ltd,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Seren Photonics Ltd,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Atraverda Ltd,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
ICP Solar,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
University of South Wales,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Sustainable Energy Ltd,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Silage Solutions Pty Ltd,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Zarlink Semiconductor,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Palmer environmental,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
ConvaTec Ltd,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Deregallera Ltd,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Devon County Council,Corus Strip Products UK,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
Dyesol UK Ltd,Corus Strip Products UK,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
Control Techniques Drives Ltd,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Celsa Steel UK,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Nuaire Ltd,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Merlin Circuits,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Warm Wales - Cymru Gynnes CBC,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Purolite International Ltd,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Atkins Global,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Protherics UK Limted,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Gyrus Medical Ltd,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Micro Materials Ltd,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Gower Optimal Algorithms Ltd,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morgan Electroceramics,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Hyder Consulting,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Vale Europe Ltd,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Flexicare Medical Limited UK,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Laser Micromachining Limited,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morgan Advanced Materials and Technology,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
BBInternational (British Biocell),Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Micro Materials Limited,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Merck Chemicals Ltd UK,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Sharp Manufacturing Co UK,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Ty Mawr Lime Ltd,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morvus Technlogy Ltd,Corus Strip Products UK,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cardiff University,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Swansea University,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Welsh Government,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
G-24i,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morriston Hospital,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
BIPVCo,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cogent Power Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Swansea NHS Trust,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Sony United Kingdom Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Iqe (Europe) Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
HAEMAIR LTD,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cardiff Council,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
SPTS Technologies,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Science Made Simple,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Haemometrics Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Tidal Energy Limited,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Fusion,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Neath Port Talbot County,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Abertawe Bro Morgannwg NHS Trust,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Boots Centre for Innovation BCI,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Mabey Bridge Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Bangor University,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Power Units M & E Engineering Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
IQE Silicon Compounds Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
International Rectifier,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Dow Corning Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Wiltan Limited,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
INEXUS,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Aberystwyth University,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Kennametal Sintec Keramik UK Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
S&C Electric Europe Limited,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
University of Glamorgan,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Nuaire International Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
OpTIC Glyndwr Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
QMC Instruments Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Qioptiq Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Utility Partnership Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Welsh Automotive Forum,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Syfer Technology Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Alun Griffiths (Contractors) Limited,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Scanwel Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cardiff Capital Region Board,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Biocatalysts Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
A Schulman Inc Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Natural Resources Wales,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
ABM University NHS Trust,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
SPECIFIC (Innovation and Knowledge Ctr),Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Surface Technology Systems Plc,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cardiff & Vale University Health Board,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Haydale Limited,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Higher Education Funding Council - Wales,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Dwr Cymru Welsh Water,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
University Hospital of Wales,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Welsh Local Government Association,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
SmartKem Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Corus Strip Products UK,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Eurostep Limited,Eurostep Limited,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
Sandvik Materials Technology,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Plasma & Thermal Coatings Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Glyndwr University,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Welsh Centre for Printing and Coating,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Yuasa Battery UK Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Office for National Statistics,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morganite Electrical Carbon Ltd.,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Pilkington Special Glass,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
MTG Research Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Seren Photonics Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Atraverda Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
ICP Solar,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
University of South Wales,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Sustainable Energy Ltd,Eurostep Limited,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
Silage Solutions Pty Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Zarlink Semiconductor,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Palmer environmental,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
ConvaTec Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Deregallera Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Devon County Council,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Dyesol UK Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Control Techniques Drives Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Celsa Steel UK,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Nuaire Ltd,Eurostep Limited,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
Merlin Circuits,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Warm Wales - Cymru Gynnes CBC,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Purolite International Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Atkins Global,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Protherics UK Limted,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Gyrus Medical Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Micro Materials Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Gower Optimal Algorithms Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morgan Electroceramics,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Hyder Consulting,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Vale Europe Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Flexicare Medical Limited UK,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Laser Micromachining Limited,Eurostep Limited,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
Morgan Advanced Materials and Technology,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
BBInternational (British Biocell),Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Micro Materials Limited,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Merck Chemicals Ltd UK,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Sharp Manufacturing Co UK,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Ty Mawr Lime Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morvus Technlogy Ltd,Eurostep Limited,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cardiff University,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Swansea University,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Welsh Government,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
G-24i,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morriston Hospital,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
BIPVCo,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cogent Power Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Swansea NHS Trust,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Sony United Kingdom Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Iqe (Europe) Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
HAEMAIR LTD,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cardiff Council,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
SPTS Technologies,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Science Made Simple,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Haemometrics Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Tidal Energy Limited,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Fusion,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Neath Port Talbot County,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Abertawe Bro Morgannwg NHS Trust,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Boots Centre for Innovation BCI,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Mabey Bridge Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Bangor University,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Power Units M & E Engineering Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
IQE Silicon Compounds Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
International Rectifier,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Dow Corning Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Wiltan Limited,Sandvik Materials Technology,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
INEXUS,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Aberystwyth University,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Kennametal Sintec Keramik UK Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
S&C Electric Europe Limited,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
University of Glamorgan,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Nuaire International Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
OpTIC Glyndwr Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
QMC Instruments Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Qioptiq Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Utility Partnership Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Welsh Automotive Forum,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Syfer Technology Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Alun Griffiths (Contractors) Limited,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Scanwel Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cardiff Capital Region Board,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Biocatalysts Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
A Schulman Inc Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Natural Resources Wales,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
ABM University NHS Trust,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
SPECIFIC (Innovation and Knowledge Ctr),Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Surface Technology Systems Plc,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cardiff & Vale University Health Board,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Haydale Limited,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Higher Education Funding Council - Wales,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Dwr Cymru Welsh Water,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
University Hospital of Wales,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Welsh Local Government Association,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
SmartKem Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Corus Strip Products UK,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Eurostep Limited,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Sandvik Materials Technology,Sandvik Materials Technology,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
Plasma & Thermal Coatings Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Glyndwr University,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Welsh Centre for Printing and Coating,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Yuasa Battery UK Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Office for National Statistics,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morganite Electrical Carbon Ltd.,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Pilkington Special Glass,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
MTG Research Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Seren Photonics Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Atraverda Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
ICP Solar,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
University of South Wales,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Sustainable Energy Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Silage Solutions Pty Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Zarlink Semiconductor,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Palmer environmental,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
ConvaTec Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Deregallera Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Devon County Council,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Dyesol UK Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Control Techniques Drives Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Celsa Steel UK,Sandvik Materials Technology,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
Nuaire Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Merlin Circuits,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Warm Wales - Cymru Gynnes CBC,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Purolite International Ltd,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Atkins Global,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Protherics UK Limted,Sandvik Materials Technology,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
