,Meetup Tag,2013,2013_2014,2013_2014_2015,2013_2014_2015_2016
101,Sustainable frameworks in JavaScript,,0.0,0.0,0.0
102,Continuous Integration,,0.0,0.0,0.0
103,Neo4j,,0.0,0.0,0.0
104,Makers,,0.0,0.009871257272830466,0.009766321574593522
105,Test Automation,,0.0,0.006595201685048323,0.006455991923037001
106,Statistical Computing,,0.0,0.0,0.0
107,Test Driven Development,,0.018687967074350807,0.018194711785447987,0.0181537894644986
108,Open Source Frameworks,,0.0,0.0,0.0
109,Infrastructure as Code,,0.0,0.0,0.0
110,User Experience,,0.0,0.0,0.0
111,Business Analytics,,0.0,0.0,0.0
112,DevOps,,0.0,0.0,0.0
113,Continuous Delivery,,0.0,0.0,0.0
114,UI Design,,0.0,0.0,0.0
115,Social Media,,0.0,0.0,0.0
116,All Forms of JavaScript,,0.0,0.0,0.0
117,R Users Group,,0.0,0.0,0.0
118,Agile programming and Python,,,0.0,0.0
119,Singing,,,0.0,0.0
120,WordPress Users,,,0.0,0.0
121,Writing,,,0.0,0.0
122,Wordpress Help,,,0.0,0.0
123,Social Networking,,,0.0,0.0
124,Beach Life,,,0.0,0.0
125,Open Government,,,0.0,0.0
126,Software Quality,,,0.0,0.0
127,Context driven testing,,,0.0,0.0
128,Stackless Python,,,0.0,0.0
129,Movie Nights,,,0.0,0.0
130,Python Web Development,,,0.0,0.0
131,Microsoft .Net User Group,,,0.0,0.0
132,Android Development,,,0.0,0.0
133,Arts & Entertainment,,,0.0,0.0
134,Software Testing,,,0.0,0.0
135,Software Engineers,,,0.0,0.0
136,Makerspaces,,,0.0,0.0
137,Civic Engagement,,,0.0,0.0
138,Programming Languages,,,0.0045893666387025025,0.004492495509043972
139,Getting started with Python,,,0.0,0.0
140,SEO (Search Engine Optimization),,,0.0,0.0
141,Quality Assurance,,,0.0,0.0
142,Poetry,,,0.0,0.0
143,WordPress Training,,,0.0,0.0
144,Electronics,,,0.0,0.0
145,WordPress,,,0.0,0.0
146,QA Professionals,,,0.0,0.0
