member_registered_location,Bath and North East Somerset,Belfast,Birmingham,Blaenau Gwent,Brent,"Bristol, City of",Cambridge,Camden,Cardiff,Carmarthenshire,Cheshire West and Chester,City of Edinburgh,City of London,Coventry,Enfield,Exeter,Guildford,Gwynedd,Hackney,Hammersmith and Fulham,"Herefordshire, County of",Islington,Lambeth,Leeds,Lewisham,Liverpool,Manchester,Newcastle upon Tyne,Newham,Norwich,Nottingham,Oxford,Pembrokeshire,Peterborough,Preston,Redbridge,Sheffield,Shropshire,South Bucks,South Gloucestershire,South Oxfordshire,Southampton,Southwark,Stafford,Swansea,Swindon,Tower Hamlets,Wandsworth,Warrington,Westminster,Wokingham,Topic
Powys,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Immersive
Swansea,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Immersive
Torfaen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Immersive
Vale of Glamorgan,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Immersive
Bridgend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.571428571428571,82.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.714285714285714,0.0,0.0,0.0,0.0,3.571428571428571,0.0,Information Technology
Caerphilly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.61904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,Information Technology
Cardiff,0.08077544426494346,0.08077544426494346,0.08077544426494346,0.0,0.0,4.119547657512116,0.0,0.40387722132471726,88.93376413570275,0.0,0.0,0.0,2.6655896607431337,0.0,0.0,0.08077544426494346,0.0,0.0,0.40387722132471726,0.0,0.08077544426494346,0.32310177705977383,0.0,0.0,0.0,0.0,0.32310177705977383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16155088852988692,0.0,0.0,0.48465266558966075,0.0,0.0,0.0,0.0,0.8077544426494345,0.0,0.24232633279483037,0.08077544426494346,0.0,0.5654281098546041,0.08077544426494346,Information Technology
Carmarthenshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,40.0,0.0,0.0,0.0,0.0,6.0,0.0,Information Technology
Ceredigion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,Information Technology
Conwy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Information Technology
Gwynedd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.076923076923077,0.0,0.0,0.0,0.0,0.0,61.53846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Information Technology
