,Wales,index,year
424,0.0,coders,2012
425,0.0,coding_dojos,2012
426,0.0,coding_for_beginners,2012
427,0.0,coffee,2012
428,0.0,coffee_&_books,2012
429,0.0,coffee_and_tea_socials,2012
430,0.0,coffee_lovers,2012
431,0.0,coffee_talk,2012
432,0.0,coffeehouse,2012
433,0.0,coffeescript,2012
434,0.0,cofounderslab,2012
435,0.0,cognitive_behaviour_therapy,2012
436,0.0,cognitive_neuroscience,2012
437,0.0,coldfusion,2012
438,0.0,coldfusion_coding,2012
439,0.0,collaboration,2012
440,0.0,collaboration_between_creative_minds,2012
441,0.0,collaborative_consumption,2012
442,0.0,comedy,2012
443,0.0,comic_books,2012
444,0.0,commodities_and_futures,2012
445,0.0,common_lisp,2012
446,0.0,communication,2012
447,0.0,communication_skills,2012
448,0.0,community,2012
449,0.0,community_action,2012
450,0.0,community_building,2012
451,0.0,community_development,2012
452,0.0,community_growth_facilitation,2012
453,0.0,community_learning,2012
454,0.0,community_management,2012
455,0.0,community_managers_&_organisers,2012
456,0.0,community_organizations,2012
457,0.0,community_outreach,2012
458,0.0,community_participation,2012
459,0.0,community_service,2012
460,0.0,competition,2012
461,0.0,complexity,2012
462,0.0,compliance,2012
463,0.0,computational_biology,2012
464,0.0,computational_linguistics,2012
465,0.0,computational_science_and_engineering,2012
466,0.0,computer__network_systems,2012
467,0.0,computer_aided_design,2012
468,0.0,computer_and_information_network_security,2012
469,0.0,computer_art,2012
470,0.0,computer_club,2012
471,0.0,computer_forensics,2012
472,0.0,computer_gaming,2012
473,0.0,computer_geeks,2012
474,0.0,computer_graphics,2012
475,0.0,computer_networking,2012
476,0.0,computer_networks,2012
477,0.0,computer_repair,2012
478,0.0,computer_science,2012
479,0.0,computer_security,2012
480,0.0,computer_training,2012
481,0.0,computer_tutoring,2012
482,0.0,computer_vision,2012
483,0.0,computers,2012
484,0.0,computing,2012
485,0.0,concept_art,2012
486,0.0,concurrent_programming,2012
487,0.0,confidence_and_self-esteem,2012
488,0.0,configuration_management,2012
489,0.0,confluence,2012
490,0.0,connected_objects,2012
491,0.0,connecting,2012
492,0.0,conscious_business,2012
493,0.0,conscious_entrepreneurs,2012
494,0.0,construction,2012
495,0.0,construction_professionals,2012
496,0.0,consul,2012
497,0.0,consulting,2012
498,0.0,consulting_skills,2012
499,0.0,consumer_health,2012
500,0.0,containers,2012
501,0.0,contemporary_music,2012
502,0.0,content,2012
503,0.0,content_curation,2012
504,0.0,content_delivery,2012
505,0.0,content_delivery_network,2012
506,0.0,content_management,2012
507,0.0,content_management_systems,2012
508,0.0,content_marketing,2012
509,0.0,content_marketing_strategies_for_the_internet,2012
510,0.0,content_search,2012
511,0.0,content_strategy,2012
512,0.0,content_strategy_and_seo,2012
513,0.0,context_driven_testing,2012
514,0.0,continous_integration,2012
515,0.0,continuous_delivery,2012
516,0.0,continuous_deployment,2012
517,0.0,continuous_integration,2012
518,0.0,contractors,2012
519,0.0,contribute_to_climate_change_action,2012
520,0.0,conversion_rate_optimization,2012
521,0.0,coolite,2012
522,0.0,copyleft,2012
523,0.0,copyright,2012
524,0.0,copywriting,2012
525,0.0,copywriting_for_small_business_owners,2012
526,0.0,coremetrics,2012
527,0.0,coreos,2012
528,0.0,corona_sdk,2012
529,0.0,corporate_social_responsibility,2012
530,0.0,corporate_storytelling,2012
531,0.0,corporate_training,2012
